Order_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Unit_Price
ORD-2021-00029,2021-10-03,2021-10-06,Standard Class,Home Office,Central,Office Supplies,Paper,33.08,2,0.0,1.53,16.54
ORD-2021-00030,2023-11-02,2023-11-06,First Class,Consumer,Central,Furniture,Tables,2583.0,5,0.0,57.1,516.6
ORD-2021-00031,2022-06-21,2022-06-23,Second Class,Corporate,West,Furniture,Chairs,2075.58,8,0.2,125.65,324.31
ORD-2021-00032,2023-01-27,2023-02-01,Standard Class,Home Office,East,Technology,Phones,2615.13,9,0.0,377.14,290.57
ORD-2021-00033,2021-07-30,2021-08-02,Second Class,Consumer,Central,Furniture,Chairs,1791.23,9,0.1,467.49,221.14
ORD-2021-00034,2022-01-03,2022-01-09,Standard Class,Corporate,East,Technology,Laptops,4105.4,6,0.1,1412.66,760.26
ORD-2021-00035,2023-02-23,2023-03-02,Standard Class,Home Office,East,Technology,Accessories,56.85,1,0.1,-0.6,63.17
ORD-2021-00036,2021-02-18,2021-02-24,Second Class,Consumer,Central,Furniture,Bookcases,578.38,4,0.1,154.4,160.66
ORD-2021-00037,2021-02-26,2021-02-27,First Class,Home Office,South,Furniture,Bookcases,1224.1,5,0.0,279.16,244.82
ORD-2021-00038,2023-06-13,2023-06-18,First Class,Corporate,South,Technology,Phones,3409.47,9,0.0,-227.34,378.83
ORD-2021-00039,2023-01-16,2023-01-20,Second Class,Consumer,South,Furniture,Chairs,355.28,2,0.3,-17.0,253.77
ORD-2021-00040,2023-04-17,2023-04-20,First Class,Home Office,Central,Office Supplies,Paper,129.16,7,0.3,23.31,26.36
ORD-2021-00041,2023-04-12,2023-04-17,First Class,Home Office,East,Furniture,Storage,149.78,1,0.0,-10.69,149.78
ORD-2021-00042,2022-03-14,2022-03-19,Same Day,Corporate,South,Office Supplies,Pens,55.27,8,0.3,2.56,9.87
ORD-2021-00043,2022-04-06,2022-04-13,First Class,Consumer,West,Office Supplies,Pens,49.52,4,0.0,,12.38
ORD-2021-00044,2023-02-26,2023-03-02,Second Class,Corporate,South,Furniture,Chairs,2331.56,7,0.0,262.29,333.08
ORD-2021-00045,2021-04-13,2021-04-18,Same Day,Consumer,East,Technology,Monitors,1394.8,4,0.0,308.2,348.7
ORD-2021-00046,2023-07-03,2023-07-05,Same Day,Home Office,South,Office Supplies,Pens,90.43,8,0.1,13.8,12.56
ORD-2021-00047,2022-07-17,2022-07-21,Second Class,Home Office,South,Office Supplies,Pens,17.68,2,0.3,2.16,12.63
ORD-2021-00048,2023-02-24,2023-03-02,Second Class,Consumer,East,Furniture,Chairs,584.66,3,0.3,54.02,278.41
ORD-2021-00049,2023-05-11,2023-05-15,Second Class,Consumer,South,Furniture,Storage,856.03,10,0.3,,122.29
ORD-2021-00050,2022-09-04,2022-09-11,First Class,Consumer,South,Office Supplies,Labels,41.27,7,0.1,7.69,6.55
ORD-2021-00051,2023-06-12,2023-06-16,First Class,Consumer,South,Office Supplies,Binders,13.35,1,0.1,1.72,14.83
ORD-2021-00052,2023-03-18,2023-03-23,Standard Class,Consumer,South,Furniture,Tables,4705.89,10,0.3,,672.27
ORD-2021-00053,2023-02-16,2023-02-19,First Class,Consumer,East,Technology,Monitors,1506.56,4,0.1,361.57,418.49
ORD-2021-00054,2023-08-22,2023-08-23,Standard Class,Corporate,South,Furniture,Bookcases,1687.14,9,0.0,-110.27,187.46
ORD-2021-00055,2022-02-13,2022-02-20,Second Class,Consumer,West,Office Supplies,Paper,15.58,1,0.2,-0.43,19.48
ORD-2021-00056,2023-01-26,2023-01-28,First Class,Corporate,East,Office Supplies,Paper,217.28,10,0.2,57.29,27.16
ORD-2021-00057,2022-10-01,2022-10-06,Standard Class,Home Office,West,Technology,Accessories,371.7,7,0.1,108.59,59.0
ORD-2021-00058,2021-09-05,2021-09-12,First Class,Home Office,West,Office Supplies,Binders,192.3,10,0.0,-3.09,19.23
ORD-2021-00059,2023-10-01,2023-10-02,Same Day,Consumer,Central,Furniture,Chairs,2337.16,7,0.0,333.52,333.88
ORD-2021-00060,2023-09-18,2023-09-22,First Class,Consumer,South,Office Supplies,Binders,94.42,7,0.3,28.63,19.27
ORD-2021-00061,2023-08-10,2023-08-15,Second Class,Corporate,Central,Technology,Phones,2080.68,10,0.3,-105.03,297.24
ORD-2021-00062,2022-06-14,2022-06-17,First Class,Consumer,South,Furniture,Tables,1873.52,5,0.2,172.74,468.38
ORD-2021-00063,2023-09-28,2023-10-03,Same Day,Consumer,West,Technology,Laptops,3252.84,4,0.3,934.63,1161.73
ORD-2021-00064,2023-04-09,2023-04-15,Second Class,Corporate,West,Furniture,Chairs,804.16,4,0.0,104.41,201.04
ORD-2021-00065,2022-12-22,2022-12-28,First Class,Home Office,South,Office Supplies,Pens,84.0,8,0.0,-0.0,10.5
ORD-2021-00066,2022-01-28,2022-01-30,Second Class,Consumer,Central,Office Supplies,Binders,104.64,8,0.0,5.43,13.08
ORD-2021-00067,2022-04-11,2022-04-14,First Class,Consumer,West,Office Supplies,Pens,40.98,3,0.0,,13.66
ORD-2021-00068,2021-09-16,2021-09-22,First Class,Home Office,West,Furniture,Chairs,2222.56,8,0.0,480.87,277.82
ORD-2021-00069,2021-04-16,2021-04-19,Second Class,Corporate,South,Furniture,Storage,1221.84,8,0.0,412.13,152.73
ORD-2021-00070,2021-06-24,2021-06-26,First Class,Consumer,East,Technology,Phones,661.18,2,0.2,8.8,413.24
ORD-2021-00071,2022-09-01,2022-09-08,Same Day,Corporate,South,Office Supplies,Binders,148.32,10,0.1,5.25,16.48
ORD-2021-00072,2022-06-26,2022-07-02,Second Class,Home Office,East,Office Supplies,Paper,38.84,2,0.0,-3.24,19.42
ORD-2021-00073,2022-08-20,2022-08-21,Same Day,Corporate,South,Technology,Phones,1398.88,4,0.0,176.55,349.72
ORD-2021-00074,2023-05-21,2023-05-22,Second Class,Corporate,East,Furniture,Chairs,1869.48,9,0.0,47.47,207.72
ORD-2021-00075,2022-08-15,2022-08-19,First Class,Consumer,West,Technology,Phones,726.28,2,0.1,5.67,403.49
ORD-2021-00076,2023-06-04,2023-06-10,Standard Class,Consumer,South,Furniture,Storage,638.59,6,0.2,76.79,133.04
ORD-2021-00077,2021-12-25,2021-12-29,Standard Class,Home Office,Central,Office Supplies,Paper,175.33,9,0.3,1.56,27.83
ORD-2021-00078,2022-12-14,2022-12-18,Same Day,Consumer,South,Office Supplies,Labels,57.78,6,0.0,14.02,9.63
ORD-2021-00079,2021-03-17,2021-03-21,Same Day,Corporate,South,Furniture,Storage,282.78,2,0.0,64.39,141.39
ORD-2021-00080,2022-01-20,2022-01-25,Standard Class,Corporate,South,Furniture,Chairs,1224.82,6,0.2,226.03,255.17
ORD-2021-00081,2022-08-13,2022-08-17,Second Class,Home Office,Central,Technology,Laptops,8496.88,8,0.0,,1062.11
ORD-2021-00082,2023-04-16,2023-04-17,Standard Class,Home Office,Central,Technology,Laptops,3075.04,4,0.0,848.36,768.76
ORD-2021-00083,2023-05-01,2023-05-08,First Class,Home Office,Central,Technology,Monitors,2858.33,8,0.1,-45.92,396.99
ORD-2021-00084,2023-04-30,2023-05-03,First Class,Consumer,East,Furniture,Tables,3710.07,9,0.0,615.51,412.23
ORD-2021-00085,2022-12-08,2022-12-11,Same Day,Corporate,East,Furniture,Storage,1303.06,9,0.2,-120.58,180.98
ORD-2021-00086,2021-03-31,2021-04-03,Same Day,Consumer,South,Technology,Laptops,5580.57,8,0.3,10.73,996.53
ORD-2021-00087,2023-10-26,2023-10-31,Second Class,Consumer,South,Office Supplies,Binders,106.86,6,0.0,-2.3,17.81
ORD-2021-00088,2023-04-20,2023-04-27,Second Class,Home Office,West,Office Supplies,Labels,29.16,3,0.0,2.16,9.72
ORD-2021-00089,2022-10-11,2022-10-17,Same Day,Corporate,West,Furniture,Storage,1307.58,8,0.2,-49.84,204.31
ORD-2021-00090,2023-06-08,2023-06-09,Standard Class,Home Office,East,Office Supplies,Pens,18.09,2,0.1,-0.89,10.05
ORD-2021-00091,2023-01-05,2023-01-08,First Class,Consumer,Central,Technology,Phones,2845.08,7,0.0,838.74,406.44
ORD-2021-00092,2023-02-23,2023-02-28,Standard Class,Consumer,East,Office Supplies,Binders,51.55,4,0.1,10.15,14.32
ORD-2021-00093,2023-08-11,2023-08-14,Standard Class,Corporate,South,Furniture,Bookcases,2322.63,9,0.0,348.02,258.07
ORD-2021-00094,2023-07-25,2023-08-01,First Class,Home Office,South,Office Supplies,Pens,55.9,5,0.0,0.49,11.18
ORD-2021-00095,2022-08-29,2022-09-04,First Class,Home Office,South,Technology,Laptops,3851.4,5,0.0,1169.85,770.28
ORD-2021-00096,2022-08-10,2022-08-17,Same Day,Home Office,West,Furniture,Chairs,1072.19,4,0.2,198.24,335.06
ORD-2021-00097,2021-03-22,2021-03-25,Standard Class,Home Office,East,Technology,Accessories,401.36,8,0.0,22.94,50.17
ORD-2021-00098,2021-12-26,2021-12-28,Same Day,Home Office,Central,Technology,Accessories,148.27,3,0.2,45.03,61.78
ORD-2021-00099,2022-08-28,2022-09-03,Same Day,Corporate,East,Office Supplies,Pens,79.92,6,0.0,20.06,13.32
ORD-2021-00100,2021-01-29,2021-02-01,Same Day,Consumer,Central,Technology,Monitors,4266.81,9,0.0,-265.13,474.09
ORD-2021-00101,2021-08-10,2021-08-16,First Class,Home Office,South,Office Supplies,Pens,32.29,4,0.1,,8.97
ORD-2021-00102,2023-08-09,2023-08-15,Standard Class,Home Office,East,Office Supplies,Pens,40.74,5,0.3,-3.91,11.64
ORD-2021-00103,2022-04-26,2022-05-01,Standard Class,Consumer,South,Technology,Accessories,116.21,3,0.1,23.08,43.04
ORD-2021-00104,2023-09-30,2023-10-05,Standard Class,Corporate,East,Office Supplies,Labels,44.94,7,0.0,-1.24,6.42
ORD-2021-00105,2023-01-23,2023-01-28,Standard Class,Corporate,East,Furniture,Storage,1016.34,6,0.0,214.81,169.39
ORD-2021-00106,2021-02-13,2021-02-14,Second Class,Home Office,West,Technology,Monitors,2858.82,6,0.0,2.63,476.47
ORD-2021-00107,2022-04-23,2022-04-26,Second Class,Home Office,East,Technology,Phones,883.66,3,0.2,,368.19
ORD-2021-00108,2021-02-22,2021-02-24,Standard Class,Consumer,Central,Technology,Laptops,895.72,1,0.0,211.32,895.72
ORD-2021-00109,2021-09-17,2021-09-23,Standard Class,Corporate,East,Furniture,Chairs,1665.66,7,0.2,469.97,297.44
ORD-2021-00110,2021-03-30,2021-04-05,Second Class,Corporate,West,Furniture,Bookcases,2150.19,9,0.0,334.87,238.91
ORD-2021-00111,2023-10-02,2023-10-08,Standard Class,Corporate,South,Technology,Monitors,2739.84,8,0.0,179.38,342.48
ORD-2021-00112,2023-02-20,2023-02-25,First Class,Corporate,East,Technology,Phones,2589.66,9,0.0,25.37,287.74
ORD-2021-00113,2022-04-13,2022-04-17,Same Day,Corporate,East,Technology,Phones,2241.76,6,0.1,172.38,415.14
ORD-2021-00114,2023-02-06,2023-02-08,First Class,Home Office,Central,Furniture,Storage,1602.24,8,0.0,294.83,200.28
ORD-2021-00115,2022-11-07,2022-11-13,Standard Class,Consumer,Central,Furniture,Chairs,574.6,2,0.1,72.51,319.22
ORD-2021-00116,2022-12-22,2022-12-23,First Class,Home Office,Central,Furniture,Chairs,2292.32,10,0.2,278.82,286.54
ORD-2021-00117,2021-08-24,2021-08-31,First Class,Home Office,Central,Technology,Phones,1100.56,5,0.2,247.74,275.14
ORD-2021-00118,2022-07-14,2022-07-20,Second Class,Consumer,Central,Office Supplies,Paper,96.85,5,0.0,-8.63,19.37
ORD-2021-00119,2021-07-07,2021-07-13,Standard Class,Consumer,West,Technology,Monitors,4274.19,9,0.0,-86.77,474.91
ORD-2021-00120,2021-06-23,2021-06-24,First Class,Home Office,Central,Technology,Accessories,204.63,3,0.0,67.38,68.21
ORD-2021-00121,2023-09-22,2023-09-27,Same Day,Home Office,South,Technology,Accessories,485.64,8,0.1,32.33,67.45
ORD-2021-00122,2023-09-24,2023-09-29,First Class,Consumer,South,Technology,Accessories,202.3,5,0.0,64.28,40.46
ORD-2021-00123,2021-10-09,2021-10-16,Second Class,Corporate,East,Technology,Phones,1585.35,5,,531.08,317.07
ORD-2021-00124,2023-12-27,2024-01-02,Same Day,Consumer,East,Office Supplies,Labels,35.3,4,0.2,10.02,11.03
ORD-2021-00125,2023-06-13,2023-06-14,Standard Class,Home Office,South,Furniture,Chairs,1953.36,8,0.0,143.17,244.17
ORD-2021-00126,2023-04-10,2023-04-11,Standard Class,Corporate,South,Office Supplies,Labels,62.94,6,0.0,2.68,10.49
ORD-2021-00127,2022-05-14,2022-05-18,Standard Class,Corporate,West,Office Supplies,Pens,81.18,10,0.1,12.22,9.02
ORD-2021-00128,2021-06-06,2021-06-11,Second Class,Corporate,East,Furniture,Bookcases,435.74,2,0.2,92.91,272.34
ORD-2021-00129,2021-10-27,2021-10-30,Standard Class,Consumer,East,Furniture,Bookcases,913.64,4,0.0,-51.41,228.41
ORD-2021-00130,2023-08-09,2023-08-16,Same Day,Home Office,East,Office Supplies,Paper,187.04,10,0.2,64.63,23.38
ORD-2021-00131,2021-05-20,2021-05-24,Same Day,Consumer,Central,Office Supplies,Pens,49.5,8,0.3,6.6,8.84
ORD-2021-00132,2023-07-15,2023-07-16,Same Day,Corporate,West,Technology,Accessories,66.32,1,0.0,15.48,66.32
ORD-2021-00133,2023-07-11,2023-07-18,Standard Class,Home Office,South,Technology,Monitors,3410.96,10,0.3,737.17,487.28
ORD-2021-00134,2022-12-05,2022-12-11,Standard Class,Corporate,West,Office Supplies,Binders,24.38,2,0.2,0.78,15.24
ORD-2021-00135,2023-01-16,2023-01-19,Second Class,Home Office,South,Office Supplies,Labels,46.26,5,0.1,12.24,10.28
ORD-2021-00136,2021-07-13,2021-07-18,First Class,Consumer,Central,Office Supplies,Paper,184.8,7,0.0,57.47,26.4
ORD-2021-00137,2022-12-18,2022-12-21,Second Class,Consumer,Central,Office Supplies,Binders,116.2,7,0.0,14.6,16.6
ORD-2021-00138,2023-05-18,2023-05-23,Standard Class,Consumer,Central,Furniture,Storage,1151.1,6,0.0,221.57,191.85
ORD-2021-00139,2021-10-09,2021-10-11,Second Class,Consumer,South,Technology,Accessories,122.12,2,0.0,31.52,61.06
ORD-2021-00140,2023-02-11,2023-02-13,Second Class,Home Office,Central,Office Supplies,Paper,80.04,3,0.0,4.17,26.68
ORD-2021-00141,2022-05-02,2022-05-06,First Class,Corporate,West,Technology,Monitors,4101.4,10,0.0,-236.68,410.14
ORD-2021-00142,2023-01-24,2023-01-30,Second Class,Corporate,Central,Technology,Laptops,9290.43,10,0.1,-778.78,1032.27
ORD-2021-00143,2022-05-28,2022-05-29,Second Class,Consumer,East,Furniture,Storage,1295.2,8,0.0,186.75,161.9
ORD-2021-00144,2022-07-13,2022-07-17,Second Class,Consumer,Central,Office Supplies,Paper,174.96,9,0.0,29.02,19.44
ORD-2021-00145,2021-04-20,2021-04-24,Same Day,Consumer,Central,Technology,Monitors,2945.88,9,0.0,-245.08,327.32
ORD-2021-00146,2022-11-18,2022-11-25,Standard Class,Corporate,West,Furniture,Tables,1940.34,3,0.0,120.47,646.78
ORD-2021-00147,2021-06-12,2021-06-13,Standard Class,Corporate,South,Furniture,Tables,2190.6,5,0.0,295.75,438.12
ORD-2021-00148,2022-09-09,2022-09-10,Second Class,Corporate,West,Office Supplies,Labels,10.1,1,0.0,-0.03,10.1
ORD-2021-00149,2023-11-22,2023-11-27,Standard Class,Corporate,West,Furniture,Chairs,821.6,4,0.3,-50.61,293.43
ORD-2021-00150,2022-01-19,2022-01-25,Same Day,Home Office,East,Office Supplies,Pens,13.3,2,0.2,1.85,8.31
ORD-2021-00151,2023-03-04,2023-03-07,Standard Class,Corporate,South,Office Supplies,Paper,78.71,5,0.3,,22.49
ORD-2021-00152,2021-10-01,2021-10-02,First Class,Home Office,West,Furniture,Tables,2965.58,6,0.2,1005.73,617.83
ORD-2021-00153,2021-10-04,2021-10-05,Second Class,Home Office,South,Office Supplies,Labels,71.04,8,0.0,3.22,8.88
ORD-2021-00154,2023-08-28,2023-08-31,Same Day,Corporate,Central,Technology,Phones,268.19,1,0.3,5.87,383.13
ORD-2021-00155,2023-06-14,2023-06-18,First Class,Consumer,Central,Technology,Accessories,382.82,8,0.1,-24.77,53.17
ORD-2021-00156,2021-06-19,2021-06-25,First Class,Home Office,Central,Office Supplies,Labels,45.64,7,0.0,15.21,6.52
ORD-2021-00157,2022-11-03,2022-11-09,Standard Class,Consumer,Central,Technology,Accessories,325.4,5,0.0,69.37,65.08
ORD-2021-00158,2022-12-24,2022-12-29,Standard Class,Corporate,Central,Technology,Monitors,2927.05,7,0.0,-64.45,418.15
ORD-2021-00159,2021-03-05,2021-03-07,Second Class,Corporate,South,Technology,Phones,1877.12,10,0.3,23.67,268.16
ORD-2021-00160,2021-03-08,2021-03-13,Same Day,Corporate,Central,Technology,Laptops,2134.82,3,0.3,473.01,1016.58
ORD-2021-00161,2023-03-27,2023-03-30,First Class,Home Office,East,Furniture,Chairs,1495.15,5,0.0,38.83,299.03
ORD-2021-00162,2022-06-21,2022-06-28,Standard Class,Home Office,South,Technology,Monitors,1922.09,5,0.3,446.03,549.17
ORD-2021-00163,2021-06-01,2021-06-05,Second Class,Consumer,East,Furniture,Storage,356.77,3,0.3,62.53,169.89
ORD-2021-00164,2022-08-18,2022-08-21,Standard Class,Home Office,Central,Office Supplies,Pens,22.09,3,0.3,0.25,10.52
ORD-2021-00165,2021-10-12,2021-10-14,Second Class,Consumer,East,Technology,Accessories,405.44,8,0.0,97.72,50.68
ORD-2021-00166,2023-03-27,2023-04-02,First Class,Consumer,West,Furniture,Tables,2587.65,8,0.2,-123.61,404.32
ORD-2021-00167,2023-07-11,2023-07-15,Standard Class,Corporate,East,Office Supplies,Paper,148.95,9,0.0,-12.17,16.55
ORD-2021-00168,2021-09-12,2021-09-17,Standard Class,Corporate,East,Office Supplies,Binders,59.1,3,0.0,12.8,19.7
ORD-2021-00169,2021-06-11,2021-06-14,First Class,Home Office,Central,Office Supplies,Binders,45.56,4,0.3,-2.55,16.27
ORD-2021-00170,2021-11-12,2021-11-14,Second Class,Home Office,West,Office Supplies,Pens,76.65,10,0.3,8.67,10.95
ORD-2021-00171,2022-06-27,2022-07-03,Standard Class,Consumer,West,Office Supplies,Paper,57.86,4,0.2,5.51,18.08
ORD-2021-00172,2023-04-12,2023-04-15,Second Class,Corporate,Central,Furniture,Bookcases,1662.56,8,0.0,294.49,207.82
ORD-2021-00173,2021-10-22,2021-10-25,First Class,Consumer,South,Furniture,Storage,744.07,6,0.3,-59.24,177.16
ORD-2021-00174,2022-10-16,2022-10-18,Standard Class,Home Office,Central,Furniture,Tables,4099.04,8,0.0,744.54,512.38
ORD-2021-00175,2022-05-24,2022-05-31,Same Day,Corporate,Central,Technology,Phones,991.68,3,0.0,283.05,330.56
ORD-2021-00176,2023-10-19,2023-10-22,Same Day,Home Office,South,Technology,Laptops,8605.52,8,0.0,-229.59,1075.69
ORD-2021-00177,2021-04-10,2021-04-11,First Class,Home Office,East,Furniture,Tables,1895.26,5,0.1,358.37,421.17
ORD-2021-00178,2021-08-09,2021-08-13,Standard Class,Home Office,Central,Office Supplies,Labels,19.59,3,0.0,3.2,6.53
ORD-2021-00179,2023-01-13,2023-01-18,Second Class,Consumer,South,Furniture,Chairs,1705.15,5,0.0,271.06,341.03
ORD-2021-00180,2023-03-18,2023-03-21,Standard Class,Consumer,West,Office Supplies,Pens,49.58,6,0.2,9.39,10.33
ORD-2021-00181,2021-10-08,2021-10-14,Standard Class,Consumer,West,Technology,Monitors,2321.89,6,0.1,337.9,429.98
ORD-2021-00182,2021-11-29,2021-12-03,First Class,Home Office,Central,Office Supplies,Binders,143.29,10,0.3,10.57,20.47
ORD-2021-00183,2023-01-25,2023-01-28,Standard Class,Corporate,Central,Office Supplies,Labels,19.82,2,0.1,6.09,11.01
ORD-2021-00184,2021-04-16,2021-04-21,Second Class,Corporate,South,Office Supplies,Paper,146.8,8,0.0,-10.1,18.35
ORD-2021-00185,2022-01-26,2022-01-27,Standard Class,Consumer,East,Furniture,Tables,3441.84,8,0.0,-315.96,430.23
ORD-2021-00186,2021-10-10,2021-10-15,Standard Class,Home Office,South,Technology,Monitors,1096.54,4,0.2,227.37,342.67
ORD-2021-00187,2023-12-28,2023-12-31,Same Day,Consumer,Central,Office Supplies,Labels,60.66,9,0.0,2.64,6.74
ORD-2021-00188,2022-07-26,2022-07-31,Second Class,Consumer,South,Office Supplies,Pens,65.35,5,0.0,-5.85,13.07
ORD-2021-00189,2022-12-16,2022-12-21,Same Day,Corporate,South,Furniture,Tables,3221.7,5,0.0,86.45,644.34
ORD-2021-00190,2021-03-28,2021-03-31,First Class,Consumer,Central,Furniture,Storage,261.26,2,0.0,55.79,130.63
ORD-2021-00191,2022-07-11,2022-07-13,First Class,Consumer,East,Office Supplies,Labels,15.07,2,0.2,4.44,9.42
ORD-2021-00192,2023-04-27,2023-04-30,Standard Class,Consumer,East,Technology,Laptops,8935.52,8,0.0,2337.23,1116.94
ORD-2021-00193,2023-09-05,2023-09-11,Same Day,Home Office,South,Office Supplies,Binders,58.16,4,0.0,-1.17,14.54
ORD-2021-00194,2021-12-27,2021-12-28,Same Day,Consumer,West,Technology,Laptops,7089.58,7,0.1,1865.1,1125.33
ORD-2021-00195,2022-11-18,2022-11-21,Standard Class,Corporate,West,Furniture,Chairs,1952.05,8,0.3,167.25,348.58
ORD-2021-00196,2022-11-09,2022-11-11,Standard Class,Consumer,Central,Technology,Monitors,2291.97,8,0.3,571.58,409.28
ORD-2021-00197,2021-12-26,2021-12-31,Second Class,Home Office,Central,Office Supplies,Pens,63.25,7,0.1,20.17,10.04
ORD-2021-00198,2022-10-25,2022-10-27,Same Day,Consumer,East,Office Supplies,Paper,26.3,1,0.0,2.45,26.3
ORD-2021-00199,2022-06-20,2022-06-26,Standard Class,Home Office,Central,Furniture,Bookcases,1050.42,6,0.3,251.62,250.1
ORD-2021-00200,2021-08-29,2021-09-04,First Class,Corporate,East,Furniture,Bookcases,861.85,5,0.0,263.85,172.37
ORD-2021-00201,2023-05-02,2023-05-08,First Class,Corporate,East,Technology,Monitors,3574.21,9,0.1,971.85,441.26
ORD-2021-00202,2023-12-18,2023-12-24,Same Day,Home Office,West,Technology,Laptops,5356.98,6,0.0,1623.09,892.83
ORD-2021-00203,2023-12-02,2023-12-06,First Class,Consumer,East,Office Supplies,Binders,21.7,2,0.3,-2.06,15.5
ORD-2021-00204,2023-11-18,2023-11-22,Second Class,Corporate,West,Technology,Monitors,3438.66,8,0.2,-202.61,537.29
ORD-2021-00205,2022-03-23,2022-03-28,Standard Class,Corporate,South,Furniture,Chairs,495.8,2,0.0,162.39,247.9
ORD-2021-00206,2022-08-11,2022-08-15,Standard Class,Corporate,West,Office Supplies,Paper,82.23,3,0.0,13.0,27.41
ORD-2021-00207,2023-02-13,2023-02-17,Same Day,Corporate,Central,Office Supplies,Labels,13.2,2,0.3,1.34,9.43
ORD-2021-00208,2023-12-20,2023-12-22,Same Day,Consumer,West,Technology,Accessories,195.2,4,0.0,9.35,48.8
ORD-2021-00209,2023-08-02,2023-08-05,Second Class,Consumer,South,Furniture,Storage,541.59,3,0.0,129.21,180.53
ORD-2021-00210,2022-05-08,2022-05-10,Standard Class,Home Office,South,Technology,Phones,764.96,2,0.0,195.32,382.48
ORD-2021-00211,2023-04-04,2023-04-08,Standard Class,Home Office,East,Office Supplies,Paper,54.69,4,0.2,6.7,17.09
ORD-2021-00212,2022-10-19,2022-10-21,First Class,Consumer,Central,Technology,Laptops,3755.4,5,0.0,553.13,751.08
ORD-2021-00213,2023-05-25,2023-05-30,Second Class,Consumer,Central,Furniture,Bookcases,1703.84,8,0.0,510.24,212.98
